date.time	ntu	max.spectra	sum.irr
43423.94805	0.195	0.003	-0.023
43423.94806	0.211	0.003	-0.019
43423.95837	0.22	0.002	-0.023
43423.95839	0.212	0.004	-0.022
43423.9584	0.212	0.005	-0.019
43423.95841	0.212	0.004	-0.017
43423.95842	0.211	0.002	-0.024
43423.95843	0.228	0.009	-0.008
43423.95844	0.212	0.002	-0.021
43423.95845	0.228	0.003	-0.02
43423.95847	0.22	0.002	-0.019
43423.95848	0.195	0.005	-0.029
43423.96879	0.203	0.003	-0.035
43423.9688	0.212	0.005	-0.012
43423.96881	0.195	0.003	-0.021
43423.96883	0.203	0.002	-0.028
43423.96884	0.203	0.022	0.011
43423.96885	0.171	0.004	-0.022
43423.96886	0.203	0.003	-0.03
43423.96887	0.22	0.003	-0.019
43423.96889	0.203	0.003	-0.023
43423.96889	0.211	0.005	-0.043
43423.97921	0.203	0.003	-0.021
43423.97922	0.187	0.006	-0.02
43423.97923	0.22	0.011	-0.01
43423.97924	0.228	0.003	-0.025
43423.97925	0.195	0.004	-0.02
43423.97926	0.22	0.004	-0.022
43423.97928	0.211	0.003	-0.024
43423.97929	0.228	0.004	-0.025
43423.9793	0.228	0.002	-0.023
43423.97931	0.228	0.005	-0.032
43423.98962	0.212	0.025	0.005
43423.98964	0.212	0.003	-0.018
43423.98965	0.171	0.011	-0.03
43423.98966	0.203	0.005	-0.026
43423.98967	0.211	0.003	-0.018
43423.98968	0.212	0.003	-0.024
43423.98969	0.195	0.005	-0.017
43423.9897	0.203	0.003	-0.024
43423.98972	0.22	0.004	-0.025
43423.98973	0.195	0.005	-0.011
43424.00006	0.203	0	-0.032
43424.00008	0.195	0.008	-0.009
43424.00009	0.203	0.003	-0.016
43424.0001	0.22	0.004	-0.022
43424.00011	0.195	0.002	-0.029
43424.00012	0.211	0.003	-0.019
43424.00013	0.187	0.004	-0.026
43424.00014	0.195	0.005	-0.012
43424.00016	0.211	0.004	-0.024
43424.00017	0.228	0.006	-0.021
43424.01046	0.228	0.004	-0.032
43424.01047	0.195	0.005	-0.028
43424.01048	0.228	0.004	-0.027
43424.01049	0.203	0.005	-0.017
43424.0105	0.22	0.005	-0.016
43424.01051	0.195	0.004	-0.024
43424.01053	0.195	0.004	-0.023
43424.01054	0.203	0.006	-0.027
43424.01055	0.203	0.001	-0.024
43424.01056	0.22	0.005	-0.012
43424.02087	0.22	0.004	-0.011
43424.02089	0.195	0.005	-0.018
43424.0209	0.195	0.004	-0.026
43424.02091	0.211	0.004	-0.021
43424.02092	0.203	0.007	-0.024
43424.02093	0.203	0.004	-0.026
43424.02094	0.228	0.004	-0.024
43424.02095	0.203	0.005	-0.019
43424.02097	0.236	0.005	-0.021
43424.02098	0.203	0.005	-0.018
43424.03129	0.203	0.004	-0.008
43424.0313	0.195	0	-0.018
43424.03131	0.195	0.004	-0.025
43424.03133	0.203	0.005	-0.027
43424.03134	0.203	0.006	-0.009
43424.03135	0.195	0.006	-0.024
