date_time,std_ntu,std_tot_par_a,std_b_g,std_b_r,time,std_wind_speed
43432.47,0.007575758,0.567142707,0.632583217,0.295938639,0.47224537,0.376084496
43486.36,0.166666667,0.02562658,0.231179933,0.163368984,0.35787037,0.665032063
43432.72,0.053030303,0.029854917,0.61125,0.296680942,0.722256944,0.228819313
43457.47,0.03030303,0.16198254,0.56620526,0.37210728,0.472326389,0.971331573
43432.56,0.022727273,0.099055629,0.628748733,0.404487722,0.555543981,0.224368163
43429.38,0.045454545,0.207636269,0.520568399,0.313274496,0.378425926,0.569973595
43459.53,0.704545455,0.003388702,0.191709184,0.074887892,0.534872685,0.757827235
43441.4,0.492424242,0.012369028,0.320365135,0.204404145,0.399328704,0.833270464
43452.46,0.037878788,0.54335764,0.580604883,0.228189311,0.461956019,0.483289325
43467.59,0.643939394,0.043895364,0.309082523,0.086052009,0.586944444,0.708789136
43452.49,0.068181818,0.565829477,0.580333248,0.214796106,0.493206019,0.402791399
43435.36,0.03030303,0.288259381,0.638164391,0.303939289,0.357673611,0.423462844
43431.64,0.037878788,0.231504191,0.58491205,0.318744215,0.638935185,0.276952094
43468.42,0.401515152,0.021033564,0.251159405,0.111051502,0.420324074,0.455224444
43426.33,0.022727273,0.116035192,0.593743963,0.418659004,0.326377315,0.543493022
43453.61,0.022727273,0.413165377,0.633659912,0.276731384,0.607777778,0.398491135
43478.35,0.068181818,0.163988865,0.541252485,0.27634584,0.347453704,0.674839683
43459.49,0.628787879,0.002921829,0.167518248,0.079069767,0.493229167,0.836288193
43437.26,0.015151515,0.018647099,0.695819805,0.495609756,0.263958333,0.519426631
43430.41,0.045454545,0.303703427,0.557730198,0.300056606,0.4096875,0.363334591
43468.42,0.409090909,0.022319767,0.255568966,0.110462777,0.420266204,0.455224444
43437.5,0.022727273,0.938271784,0.621583487,0.205540631,0.503553241,0.32267069
43455.26,0.03030303,0.014649961,0.682315022,0.544630872,0.264016204,0.428366654
43428.5,0.037878788,0.478329651,0.603927309,0.283673867,0.503460648,0.652961147
43447.33,0.075757576,0.067158888,0.628073168,0.33061651,0.326446759,0.154960392
43431.7,0.037878788,0.089445786,0.598151755,0.314363354,0.701354167,0
43456.28,0.022727273,0.043029545,0.540506304,0.45665529,0.284861111,0.658996605
43460.45,0.727272727,0.002533326,0.169892132,0.070414201,0.4515625,0.89136175
43447.49,0.045454545,0.53714951,0.57507259,0.266693378,0.493159722,0.807619766
43432.25,0.007575758,0.029739752,0.667548945,0.27289272,0.253530093,0.683138438
43474.4,0.136363636,0.106874151,0.412760754,0.223163175,0.399467593,0.159185213
43482.65,0.015151515,0.230292984,0.545805189,0.27633343,0.649525463,0.576763485
43432.6,0.431818182,0.071885488,0.59928068,0.368039539,0.5971875,0.287891362
43460.53,0.575757576,0.007278864,0.191312026,0.090883978,0.534895833,0.724632214
43435.28,0.007575758,0.042633008,0.798986981,0.530601093,0.284768519,0.297698982
43432.57,0.022727273,0.168730558,0.605961002,0.371320576,0.5659375,0.387250094
43446.25,0.234848485,0.007526958,0.533941523,0.24751773,0.253587963,0.339569974
43483.59,0.075757576,0.217975555,0.534829175,0.220560629,0.587037037,0.634100339
43479.48,0.060606061,0.620554113,0.528758525,0.249830401,0.482835648,0.615993965
43440.34,0.583333333,0.004503615,0.315920219,0.192307692,0.336875,0.766880422
43438.48,0.037878788,0.568146944,0.612000749,0.235292386,0.482708333,0.491738966
43428.72,0.022727273,0.036581577,0.768568213,0.394205794,0.722199074,0.378196907
43485.58,0.181818182,0.330310627,0.509179353,0.169302585,0.57662037,0.637118069
43483.38,0.128787879,0.070266674,0.497974743,0.300881743,0.37869213,0.576009053
43467.59,0.621212121,0.039884385,0.303305841,0.085323064,0.58693287,0.708789136
43483.38,0.03030303,0.070266674,0.497974743,0.300881743,0.37869213,0.576009053
43445.3,0.53030303,0.002311694,0.285870123,0.112244898,0.295231481,0.381893625
43456.55,0.015151515,0.384326445,0.653743222,0.277539629,0.54525463,0.344021124
43449.73,0.045454545,0.005937415,0.653690273,0.400588235,0.732766204,0.784986797
43480.58,0.075757576,0.232179569,0.520508201,0.243499869,0.5765625,0.633345907
43439.51,0.015151515,0.836208965,0.601137372,0.227517796,0.513900463,0.819690683
43482.53,0.007575758,0.353859267,0.588941118,0.237524054,0.534907407,0.533987175
43435.68,0.015151515,0.135801943,0.607610093,0.448364888,0.680601852,0.31799321
